y_true;error;sentence
2;.;Classifica argomento: Ha detto miasi invece di miosi quando ho fatto il corso di pronto soccorso era fondamentale
3;.;Classifica argomento: Black con una scoreggia rosè uccide Gogeta SSJ4  Poi Broly femmina è abbastanza Toryamico: è un bella ragazza che all'occorrenza diventa micidiale proprio come Lunch magari anche la sua trasformazione è scatenata in un momento particolare: nel trailer non sembra caricare il ki per trasformarsi come Cabba anzi sembra triste della trasformazione certo Tory l'avrebbe lasciata carina anche dopo la trasformazione ma dal poco che si è visto la caratterizaziome potrebbe essere del Tory
7;e;Classifica argomento: Bellissimi profili          Qualitativamente parlando, come sono???
3;i i i i;"Classifica argomento: Il porto era un luogo molto indaffarato, mercanti scaricavano le loro merci nelle navicelle d'esportazione mentre altri facchini prendevano quelle da importazione, i beni erano di diverso tipo si spaziava dai generi alimentari ai vestiti, dagli arredamenti a materiali di costruzione, quindi materie prime, semilavorati e prodotti finiti. Yuzu decise quindi di dirigersi in direzione del center, avrebbe potuto chiedere informazioni e saziare la propria curiosità, < Salve, di cosa hai bisogno? > gli disse l'alieno posto dall'altra parte del bancone, la stanza era unica ma molto grande con diverse postazioni, in modo da limitare grosse file e risse per chi arrivasse prima, < Uhm.. Mi è stato dato questo > Disse schiarendo la voce e porgendo lo scatolone che pochi momenti prima gli era stato assegnato, il centralinista l'osservò e diede una lettura veloce all'elenco e al biglietto, < Deve andare alla Zona 5 e salire sulla navicella numero 13, è di sua proprietà, la usi come meglio crede, le cordinate sono codeste. > Poi gliele scrisse per bene sul foglio continuò comunque nella spiegazione mentre il soldato continuava a scuotere la testa in senso di approvazione, < Per inserire le cordinate è semplice ci sono due pannelli, in uno c'è scritto Y ed inserisci il seguente numero, nell'altro c'è riportato X ed inserisci il seguente numero, è un viaggio di pochi minuti e la navicella andrà da sola, tu potrai riposarti comodamente. > Poi lo congedò con un cenno e gli strinse la mano < C'è bisogno di gente come lei per l'impero negli ultimi tempi..> disse abbassando lo sguardo, Yuzu non capì ma sorrise, riprese lo scatolone e andò via, cercò per un po' di tempo la Zona 5, sembrava un vagabondo senza meta, dopo averla trovata non fu difficile dirigersi alla sua navicella, l'osservò, era semplice, era bianca con una cupola rossa ed aveva una forma vagamente circolare, vide il telecomando posto all'interno di esso ma protetto come dire da una barriera magnetica, "" Passare tessera. "" una voce elettronica lo ammonì subito quando cercò di avvicinarsi ad esso, notò sotto di esso un passascheda e la passò, < Benvenuto YOI 1231. > la stessa voce simulata gli parlò, lo scudo magnetico si dissolse nel nulla, prese il telecomando a due tasti ed aprì lo sportello, non fece nemmeno rumore e sali. < Non dovrebbe essere difficile..> disse fra se mentre inseriva le cordinate come precedentemen spiegato, sul monitor apparì la seguente scritta: ""Pianeta Segmel, tempo di arrivo 12 virmeri. "" < Virmeri?.. > esclamò con un po' di disappunto, non conosceva quella unità di misura del tempo in ogni caso il portellone si chiuse e la navicella partì ad alta velocità verso il sistema solare da lui scelto. Il viaggio non fu molto lungo, dopo breve tempo era già arrivato a destinazione, lo spazio porto questa volta era molto più grande e intersecato da decine di tunnel e corridoi, anche la popolazione era diversa, erano presenti, si, i mercanti, ma squadre di soldati, capitani, tenenti, maggiori, capo squadra, civili e perfino il bestiame si spostava da quella zona, Yuzu passò tranquillamente per la zona, nessuno era interessato a lui, ci sarebbero stati i motivi, ma visto che era sconosciuto non c'era motivo di fermarlo, si recò nuovamente all'ufficio d'informazione anch'esso enorme ma dovette fare la fila, davanti a lui c'era un altro alieno, basso, con la testa di color arancione e a punta, snello e con le braccia incrociate, < Ehilà, anche tu in cerca di una missione?.> Gli chiese notando, anche per passare il tempo visto che ci sarebbero voluti all'incirca una decina di minuti terrestri. < No.. No, sono in cerca di informazioni per questo pacco. > disse indicandolo visto che precedentemente lo aveva appoggiato a terra e continuava a spostarlo brevemente con il piede destro, < Una nuova recluta! Buona fortuna allora! > Poi iniziò a ridere e gli diede una pacca sulla spalla, < Scherzo, anchio sono nuovo, mi hanno integrato circa ieri. > disse abbassando un po' lo sguardo, < Guarda, ti accompagno io dove devi andare, seguimi. > poi gli fece cenno di venire, < Mah.. > Yuzu era già confuso di suo e queste relazioni frettolose lo continuavano a confondere ancora di più, ma si decise a seguirlo, non aveva nulla da perdere in ogni caso. < Quale sarà la nostra prossima mossa?. > Una specie di rettile, chiese ad una figura umanoide minuta seduta su una specie di sedia volante che continuava a sorseggiare dell'idromele da un bicchiere di vetro finissimo. La figura si alzò e si spostò lentamente in avanti, bevve un altro sorso e poggiò il recipiente nel suo porta bicchiere personale, era basso, la testa tonda e cornuta, le labbra viola, gli occhi neri e indossava un'armatura con due grossi spallacci ai lati. < Carissimo, continuare con il reclutamento di nuovi soldati è di maggiore priorità, continuate anche gli esperimenti, dobbiamo vincere questa guerra. Sono stato chiaro? > l'alieno era calmissimo ma continuava a passeggiare per la sala con tranquillità continuando a parlare fino a quando non si fermò e gli venne data la risposta, < Certamente signore, sarà fatto. > poi si congedò con un saluto militare e ricevuto il consenso lasciò l'aula. Ne entrò subito un altro, di fretta che si inginocchiò sul lunghissimo tappeto rosso che si allungava dalle porte d'ingresso al trono, < Saluti, Richiedo il permesso di parlare. > L'alieno minuto gli diede il consenso, < Accordato. > non ci volle molto e l'extraterrestre sottoposto di mise in piedi e sull'attenti, cominciò a parlare senza osservare negli occhi il suo presunto capo. < Siamo in emergenza sul pianeta militare Segmel si sta avvicinando una flotta ostile, abbiamo diverse squadre di combattimento e nuove reclute, più famiglie e importanti commercianti, cosa dobbiamo fare? > Disse rapidamente, con un tono appassionato e abbassando lo sguardo quando porse la domanda, < Invia rapidamente delle navi di supporto, con qualche unità veterana.. > poi lo fulminò con lo sguardo facendosi intendere, < Invia anche uno di loro.. > poi lo congedò senza aspettarsi risposte e spiegazioni e il sottoposto andò via. "" Dobbiamo vedere davvero se possono rilevarsi utili."" Yuzu stava seguendo tranquillamente il suo nuovo amico, che gli raccontava dell'addestramento e di quello che aveva dovuto passare nell'accademia per farsi accettare gli allenamenti estremi e le donne la sera, < E tu? > gli venne chiesto nel mezzo del discorso. All'alieno da poco svegliato gli si fermò il cuore nuovamente, e la mente non sapeva dove andare a parare, non sapeva nulla di se stesso e continuava a cercare la verità su di se, del perchè e di cosa era successo, un altro flash lo colpì nel mezzo della discussione dovette inginocchiarsi a terra. < L'hai fatto tu eh cucciolo? > poi gli venne dato un colpo sulla testa, < Non chiamarmi più cucciolo! > e si arrabbiò, incrociò le braccia e se ne andò. < Ehi amico, tutto bene? > Disse l'alieno conoscente vedendolo mettersi a terra, < Si, tutto bene, più o meno le tue stesse difficoltà.. > poi calò la vista nuovamente, aveva avuto un altro giramento di testa, ma nulla di grave. < Ah, vieni ti do una mano. > lo tirò su con determinazione e gli porse la mano, < Il mio nome è Gurka. > Disse con tranquillità, Yuzu si fece aiutare senza vergogna e gli afferrò la mano. < Io sono Yuzu. > poi continuarono a camminare verso la zona decisa precedentemente, uno parlava in continuazione con l'entusiasmo da nuova recluta, l'altro stava zitto ed ascoltava assimilando le informazioni. < Entra pure, ti aspetto qui. > poi Gurka si sedette nel marciapiede affianco e accese una sigaretta con i polpastrelli, Yuzu entrò in una specie di ambasciata, venne subito fermato e venne richiesto il riconoscimento, gli venne fatto appoggiare velocemente lo scatolone a terra, < Questa è la mia tessera di riconoscimento.. > e la porse visto che comunque era rimasto spaventato dalla massa dei cinque bruti che lo fermarono, < Esperimento YOI 1231, hai il permesso, dirigiti in quella stanza. > Poi venne portato rapidamente da uno di loro, "" Ancora esperimento.. non sono un esperimento.. se è vero che mi hanno curato, dovrebbero conoscermi, che abbia perso davvero la memoria? "" pensò mentre venne mollato davanti una porta rossa che si aprì da sola, entrò < Saluti. > Disse ma non notò nessuno nella stanza ma sentiva un certo rumore come se qualcuno stesse frugando nella scrivania davanti a se, < Salve, mi scusi. > disse rimettendosi in una sistemazione più professionale, < Si accomodi. > e gli indicò la sieda dove andarsi a sedere, < Quindi tu saresti.. Yuzu? Non ti chiamerò esprimento bla bla, troppo impersonale, il mio compito è spiegarti perchè tu sei qui. > gli disse incrociando le dita della mani e appoggiandole sul tavolo, l'alieno che aveva viaggiato fino ad adesso annuì, sperando in cuor suo di trovare informazioni importanti."
4;tech;Classifica argomento: Voilà ultima realizzazione, un'altra skater! by  , su Flickr
3;a;Classifica argomento: A prima vista, mi sembra esteticamente poco curata,
10;: natura;Classifica argomento: a una coppia di amici è successo cosi è per quello che lo scritto e italcanna ha dato la spiegazione che il fusto della canna non si era caricato loro lanciavano in side... Poi la canna non la possiedo ma ho provato la 180 e l'aspide 150 poi ho optato per la Dinamish fsh
6;i i;Classifica argomento: No! Ogni nuovo ciclomotore della Piaggio,aveva il suo numero di omologazione.che non può essere uguale al ciao,anche perché il tuo è un SI.
8;a tecnologia;Classifica argomento: Perfetto Gatta... teniamoci aggiornate!  Eleonora ... senz'altro vi darò notizie sulla funzionalità o meno di questo tonico/latte/lozione!
0;.;"Classifica argomento: Quest'ultimo album dei Rome segue le orme dei precedenti  e  , dunque un neofolk malinconico, ricco di atmosfera, piuttosto ""orecchiabile"", chitarre acustiche e voce calda ed avvolgente, ben distante dal sound cupo ed apocalittico dei primi album della band come  . Personalmente apprezzo molto questo stile (anche se non mi facevano certo schifo i primi album, anzi). : Celine in Jerusalem Transference The Secret Germany (For Paul Celan) 8/10"
9;) tecnologia;"Classifica argomento: Ecco il grande ""vecchio""! Enormissimi auguri per questa nuova avventura! In culo ai vecchi rancorosi e ingrati..."
9;n l;Classifica argomento: Ottima segnalazione appena va in onda ci fai sapere.
10;a.;Classifica argomento: Per quanto sia una seconda punta, ma... Jovetic?
8;t celebrità;"Classifica argomento: Ciao ragazzi, scusate ma mi ero perso il messaggio di Swamp.. sinceramente credo anche io che ci sia la tendenza a ristringere troppo i tempi tra un mantenimento e l'altro (colpa anche mia che alcune volte sono troppo permissivo e ""medio"" cercando di accontentare l'utenza e concedendo tempistiche ridotte). Relativamente alla tricopigmentazione sono molto conservativo e consiglio al massimo un mantenimento ogni 6 mesi preferendo sempre e comunque l'annuale. Esiste effettivamente il rischio di sovraccaricare cromaticamente la zona andando a peggiorare la situazione. Non facciamoci rincuorare dalla reversibilità della tecnica, 12 mesi d'attesa per fare poi scaricare il pigmento sono lunghi."
8;e e;Classifica argomento: Di nulla, vai tranquillo. Se hai bisogno scrivi.
10;a celebrità;Classifica argomento: Guarda io ho fatto diverse mostre di modellismo, su ogni genere (sotto le foto), e ho anche già modelli di auto in generale, di diverse scale, die-cast e costruite, ma solo ora voglio buttarmi sui modelli solo 1/18 (con relativi costi maggiori) delle migliori auto da rally e stradali anni '70-'80 e '90! Dopo le foto, se si vedono, allego la lista dei desideri, cioè dei modelli che sono riuscito a trovare e che voglio prendere. Comunque per il momento ho trovato solo in negozio fisico, non online, una Delta Totip della Sunstar (qualità media) di Cerrato-Cerri (3rd al Rally Sanremo 1988, numerata su 799 pezzi). Questa è quella che ho preso E a breve mi arriverà il famoso turbino, ovviamente prima serie, come ce l'aveva mio padre qualche anno fa Ecco la lista: Alfa Romeo 75 3.0 V6 (stradale red) 1987 Alfa Romeo Alfetta GTV 2.0 (stradale grey met) 1980 Alfa Romeo GTA 1300 (stradale white) 1972 Alfa Romeo Montreal (stradale) 1970 Audi 90 Quattro (Haywood-Goodyear) GTO Class Road '89 Audi Quattro (Mikkola-Hertz) Safari Rally 1984 Audi Quattro LWB (Blomqvist-Cederberg) Acropolis Audi Quattro LWB (stradale) 1988 Audi Quattro Rally (Wittman-Diekman) Acropolis '82 Audi Quattro S1 (E2) (Röhrl-Geistdörfer) Sanremo '85 Audi Quattro S1 (Röhrl) Pikes Peak '87 Audi Quattro Sport (Blomqvist/Cederberg) Monte '85 Audi Sport Quattro corta (stradale red) 1984 Autobianchi A112 Abarth (NON ANCORA USCITA) BMW 2002 Turbo (stradale) 1973 BMW 3-Series M3 E30 Race Car (black) 1989 Citroen BX 4TC Client Series 200 (stradale) '86 Citroen Visa Chrono Gr. B 1000 Pistes (stradale) 1984 De Tomaso Pantera L (stradale black) 1972 Ferrari 308 GTB (Tognana-de Antoni) Targa Florio '82 Fiat 124 Abarth (Alen-Kivimaki) Porto '75 Fiat 124 Abarth CSA (stradale red black) 1972 Fiat 127 Sport 70 HP (NON ANCORA USCITA) Fiat 131 Abarth (Alen-Kivimaki) Porto '77 Fiat 131 Abarth (Röhrl-Geistdörfer) Sanremo '80 Fiat 131 Abarth (stradale) Fiat Ritmo 125 TC Abarth (NON ANCORA USCITA) Fiat Uno Turbo i.e. (vers. Stradale red) Fiat X1/9 (stradale red) 1974 Ford Capri Mk3 2.8 Injection (stradale light blue)1982 Ford Capri RS 3100 (red) 1974 Ford Escort Cosworth (stradale black) 1992 Ford Escort I 1300L (stradale) 1970 Ford Escort RS Turbo (stradale black) 1984 Ford Escort RS1800 (Airikkala-Short) Mintex Intern. '81 Ford RS 200 (gara white & blue) Ford RS 200 (R. Droogmans) Team Belga, Ypres 1986 Ford RS 200 (stradale white) 1986 Ford Sierra 4x4 Cosworth (stradale white) '92 Ford Sierra Cosworth (Auriol-Occelli) TDC '88 Ford Sierra Cosworth RS 500 Texaco (Ludwig-Soper) Ford Sierra RS Cosworth 3 doors (stradale white) Lancia 037 (Alen-Kivimaki) TDC '84 Lancia 037 (Cunico-Bartolich) Sicilia Targa Florio '83 Lancia 037 Rally street (stradale white o red) Lancia 037 versione Safari Lancia 037 Wurth (Röhrl-Geistdörfer) Rally Deutschland '83 Lancia Beta Montecarlo Lancia Delta ECV 1 (red) Lancia Delta ECV 2 (white) Lancia Delta HF 8V (Biasion-Siviero) Acropolis '88 Lancia Delta HF Integrale (Auriol-Occelli) Monte '92 Lancia Delta HF Integrale 8V (stradale red) Lancia Delta Integrale 16V red (Biasion-Siviero) Sanremo '89 Lancia Delta Integrale 16V Safari Rally Kenya '91 Lancia Delta S4 (Cerrato-Cerri) Sanremo '86 (normal o mud) Lancia Delta S4 (Toivonen-Cresto) Monte '86 Lancia Fulvia Coupe 1.6 HF Fanalone (stradale amaranto) Lancia HF Integrale Evo (stradale) '91 Lancia Stratos (Alen-Kivimaki) Sanremo '75 Lancia Stratos (Munari-Mannucci) Monte '75 Lancia Stratos (stradale yellow) 1975 Mazda RX7 Gruppo B 1985 MG Metro 6R4 (Arthur-Pond) Monte '86 Night vers. MG Metro 6R4 (McRae-Grindrod) RAC 1986 Mini Cooper S (Aaltonen-Liddon) Monte '67 Nissan 240 RS 1984 Nissan Skyline GT-R 2000 (strad.) 1st Gener. '70 Opel Ascona 400 (stradale white grey yellow) 1980 Opel Ascona B I2000 (stradale white yellow) 1975 Opel Ascona B400 (Clarr-Sevelinge) TDC '82 Opel Ascona Rothmans (Röhrl-Geistdörfer) Monte '82 Opel Kadett B Coupe Rally 1900 (stradale) 1969 Opel Manta 400 '84 Paugeot 205 T16 (Vatanen) Pikes Peak '87 Peugeot 1.9 Gti (stradale white) 1991 Peugeot 205 T16 Evo1 Peugeot 205 T16 Evo2 (Salonen-Harianne) Monte '86 Peugeot 205 Turbo 16 serie 200 (stradale dark grey) Porsche 911 930 Turbo 3.3 (stradale) 1986 Porsche 911 Carrera RS 2.7 (stradale) 1973 Porsche 959/60 (Metge-Lemoyne) Dakar 1986 Renault 5 Alpine (stradale black) 1977 Renault 5 GT Turbo (vers. Stradale white) Renault 5 Maxi Turbo (stradale) 1985 Renault 5 Turbo (E. Comas) Superproduction '87 Renault 5 Turbo (Ragnotti-Andriè) Monte '81 Renault 5 Turbo (stradale blue) 1980 Renault 5 turbo Laureate limited Edition 1000 pieces Renault 5 Turbo2 (stradale) Black Renault 8 Gordini (gara) Renault A310 Alpine V6 Pack GT (stradale blue met) 1986 Renault Alpine A110 1600S (Anderson-Stone) Monte '71 Renault Alpine A110 1600SC (stradale) 1974 Renault Alpine A110 1800S Rally (Bruno Saby) 1978 Renault Clio 16S (Ragnotti-Thimonier) Diac Rally '91 Renault Clio Williams (stradale dark blue-oro) Renault Maxiturbo (Ragnotti-Thimonier) TDC '85 Renault Maxiturbo (Sappey-Saby) Monte '83 Renault Super 5 GT Turbo (Oreille-Thimonier) Monte '89 Renault Super 5 GT Turbo (Phase 2, stradale) 1985 Simca 1000 Rally 2 (Fiorentino-Gelin) Monte '73 Talbot Samba Rallye (stradale red) 1983 Talbot Sumbeam Lotus Gr.2 Monte '81 Toyota Celica Twin Cam Turbo 1985 VW Golf GTI (stradale red) 1976 Citroen SM Proto (Verrier-Umbricht) da gara
4;e intrattenimento;Classifica argomento: Ovviamente quoto! Fumare tranquilli e non farne una scienza!
9;.;"Classifica argomento: Luciano, che dire, ogni parola sarebbe superflua. Tanto di cappello al vostro lavoro di ricerca/studio/catalogazione, ma dove la mettete tutta questa roba??? Chissà, magari un giorno verrò a visitare il vostro ""museo"""
7;moda;Classifica argomento: A me hanno aggiornato oggi il navi in Jeep alla versione 17.07.46 e adesso...i servizi live non vanno! Chiede un aggiornamento, lo faccio partire e poi da errore! No comment...
3;a;Classifica argomento: Uno dei miei ricordi calcistici più felici è legato proprio al Pescara. Campionato di Serie C1/B 2007-2008 Penultima giornata Stadio Arechi Salernitana 2 Pescara 0 e promozione in serie B con coreografia spettacolare prima dell'inizio della partita
3;.;"Classifica argomento: .Link UP spam: 1)  2)  3)  . Cosa mi serve: Targhette dei gruppi (10 targhette) . Link Forum in cui verrà inserito il lavoro:  . Link della PAGINA CODICI (non di anteprima) della skin su cui basarsi (o il nome esatto se avete impostato una skin in amministrazione) se si tratta di un logo o sfondo: . Dimensioni del lavoro: 150 x 50 . Testo (specificare il font e il colore): Gruppi:  Fondatore (Colore rosso chiaro)  Co-Fondatore (stesso colore del gruppo ""Fondatore"")  Amministratore (Colore azzurro/blu chiaro)  Moderatore (Colore blu)  Moderatore - In prova (Colore arancione)  Grafico (Colore viola chiaro)  Utente - Verificato (Colore verde chiaro)  Utente - Non verificato (Colore rosso)  Utente - Bannato (Colore nero)  V.I.P. (Colore oro) Seguire i colori dei gruppi sul forum indicato. Vorrei che avessero l'effetto plastificato, non so se mi spiego. Le scritte vanno bene bianche, stampatello, con dettagli. . Immagini da usare:  tipo così. . Altre informazioni: Sono pignolo quindi non vorrei farvele rifare migliaia di volte."
