,Id,Gender,Age,Topic,Sentence
16,656,M,50-100,AUTO-MOTO,"Paco, quando mi si dice che un pistone Asso stampato completo costa 30 euri, io l'interpreto come ""questo mi vuole fregare e specula sui prezzi"" Ovviamente è interpretazione soggettiva....ma mica poi tanto."
17,306,F,20-29,ANIME,assolutamente ti consiglio tutti i libri di wulf dorn... il migliore è la psichiatra. Un capolavoro!!
18,1027,M,20-29,SPORTS,Serie A Frosinone-Atalanta X Empoli-Milan X Fiorentina-Torino X Inter-Carpi 1 Lazio-Chievo 1 Palermo-Udinese X Sampdoria -Napoli 2 Sassuolo-Bologna 1 Verona-Genoa 2 Juventus-Roma 1 Calcio Estero Crystal Palace-Tottenham 2 Monchengladbach-Dortmund 2 Atl. Madrid -Siviglia 1 Arsenal-Chelsea 1 Lione -Marsiglia X
19,648,M,40-49,AUTO-MOTO,"Ciao a Tutti. Quest'anno cambierò auto(per sopraggiunta anzianità.... più mia che della vettura). Sto valutando l'acquisto di una macchina comoda versatile abbastanza compatta(max4,4 mt) e che non si fermi per una nevicata... Ho provato anche in casa Land Rover ma sono un tantino fuori budget o grandi. E quindi restringerò il campo. Mercedes gla scartata per visibilità insulsa! O ti schiacci sul pavimento o per vedere la fine del cofano dovresti mettere la testa fuori da un tettuccio.... salito su Enduro. Ho provato la Renegade Th e devo dire che la visibilità è buona , gli ingombri chiari, dentro è fatta bene e su strada ha un bell'impatto, tanto da sembrare ben più grande dei dati ufficiali. Mi è parsa anche allegra.... Ho letto qui dei consumi e devo dire che mi sembrano ragionevoli in considerazione del tipo si vettura. Quello che mi lascia perplesso sono i rumori a velocità superiori ai 100km/h (dai test) il cambio, ecco lo zf montato su Discovery/evoque l'ho trovato più pronto e leggermente più fluido. Non ha i paddle ma vabbè su questo si può anche sorvolare... Non sono un gran utilizzatore di navigatori....però il 5"" mi sembra un tantino fuori moda ed appena giusto il 6.5"" anche se penso in parte dettato dalla forma della consolle centrale. Sono una talpa....come vanno i fari?? Grazie e complimenti per il forum e le vostre auto, ecco devo dire una delle poche bella in praticamente ogni versione/allestimento/colore senza dover montare cerchioni da 22"""
20,694,M,20-29,CELEBRITIES,"Più la guardo e più penso che Modestina sia una ragazza fantastica, sia caratterialmente che fisicamente"
21,94,M,30-39,ENTERTAINMENT,Ciao a tutti!!! Denzel Park - One Way Home!!!! che bel dischettino!
22,740,M,0-19,SPORTS,"Meglio Pasqual di Zauri.. sono contento così, però ora Zellaman non deve farsi scappare il fiorentino.. vai Marino regalaci l'esterno!! (chiunque sarebbe meglio di Savini e Grava)"
23,611,M,40-49,AUTO-MOTO,"Quelle che ho visto erano tutte pronte consegna,bianca e anvil con gli stessi accessori, matt green senza nav8.4,addirittura uno mi ha sconsigliato di prendere la th e di prendere compass th a un paio mila euro abbondanti di più. Cmq auguri x la nuova belva"
24,1009,M,50-100,AUTO-MOTO,"senza ombra di dubbio ..viva il Sachs!!!!! Se non fosse stato per quella maledettissima Crociera ..,forse gli MR6 nemmeno sarebbero stati ...pensati !!!!!!"
25,451,M,20-29,SMOKE,Giornata universitaria con Plurifumate di Kendal Cream SG in pipa Charatan Perfection.. Prima volta che fumo il Kendal... Eccezionale!!! E ora MastroTornabuoni... Eccezionale!!!!
26,110,F,40-49,SPORTS,"Allora news Yuzu è arrivato a Montrael Ha avuto dolore al ginocchio destro la scorsa settimana e non si è allenato e presenterà i programmi in versione ""semplificata"" . Quel ridurrà i salti si riferisce ai quadrupli secondo me....( se può definirsi semplificato un programma di Yuzu ) Probabilmente non è nulla di serio altrimenti non credo che Brian lo avrebbe fatto gareggiare qui, con il rischio di avere problemi più avanti, visto che ci sono le Olimpiadi!!! Arrivo a Montreal ieri"
27,586,M,20-29,ANIME,Questa mossa permise di accecare temporaneamente Oddish Disse James lanciano un 'altra Pokéball
28,188,M,30-39,SPORTS,"vista allo stadio, la sensazione è sempre la stessa, tanto giro palla, poche verticalizzazioni, ma tanta forse troppa qualità le occasioni le creiamo però ci specchiamo troppo, manca quella cattiveria che dovrebbe avere la quart'ultima dietro la cappella è sempre dietro l'angolo premesso questo non meritavamo di perdere con un squadra che ha fatto 3 gol su nostri 3 errori e che ha avuto un solo tema tattico, ripartire su biabiany ps ma perché cassano no? Non ho condiviso molto i cambi, ma la fiducia a Montella resta"
29,316,M,30-39,SPORTS,Certo che l'assenza prolungata di Edgar ha proprio del misterioso...Tral'altro sarebbe potuto servirci ( aveva iniziato bene)
30,539,M,40-49,METAL-DETECTING,nel mio territorio non ho mai visto nessuno con met.det. ma e una terra ricca di tutto anche di monili antichi tante persone hanno trovato delle monete arando semplicemente i propi terreni non so ne vorrei uno che riesca a fare di tutto ai ritrovamenti di resti antichi a semplici euro sulla spiaggia per me e crearmi un passatempo ho visto sul web un garrett 2500 ma no so se va bene insomma uno che sia ottimo su tutto e poi in caso di ritrovamenti interessanti cosa bisogna fare ? c'e una legge al riguardo o un decreto che specifica bene ? non vorrei che le forze dell'ordine vedendomi con questo aggeggio dovrei passare dei guai grazie
31,308,F,0-19,ANIME,"Dal Canada!? Wow, è un po' lontano! Benvenuta!"
32,784,M,50-100,AUTO-MOTO,"Ciao ragazzi, anche per me è stata una bellissima giornata tra amici, qualche giro in moto quando nel fettucciato eravamo in pochi per problema polvere,ma per il resto è stato veramente tutto OK.Un ringraziamento è dovuto    a brivioracing e fanticluino,che non si sono risparmiati in nulla..................GRAZIE        Pierluigi"
33,292,M,30-39,SPORTS,Il padrone di casa.... Poco fa anche l'incursione fulminea di una lola sugli zerri!!!
34,1075,M,50-100,SMOKE,"Sì, è vero, ci sono anche morte false (clinicamente parlando, morte apparenti 😀 )..."
35,922,M,20-29,ANIME,O.T. Raga un aiutino date un voto la mia è la numero 6! Ve ne sarei grato
36,60,M,40-49,SPORTS,Esca terribilmente efficace per cavedani xxl! li preparo a pezzetti e li mischio a farina gialla e pane grattugiato che tiri bene il sangue. Una volta gettati in acqua rilasciano una scia irresistibile! allego foto:
37,108,F,30-39,AUTO-MOTO,Oggi ha chiamato al concessionaria macchina arrivata  Ancora qualche giorno per i vari controlli e l'immatricolazione spero per fine settimana di essere alla guida della mia Juke
38,47,F,40-49,ANIME,"Cara Tetide, la penso come te su Susanna, infatti scherzavo nel chiamarla serpe e sto raccogliendo le idee per darle un seguito adatto. Al più presto mi metterò al lavoro. Un abbraccio"
39,535,M,20-29,NATURE,"che costerà un occhio XD preferisco piantare si piante anti zanzare attorno la voliera, abbiamo il giardino, ma poi i miei mica stanno aspettare che qualcosa gli voli addosso... dovrebbero beccare o andare via se arrivano le zanzare.."
40,1107,M,50-100,SMOKE,"Questo è il mio ""pennello definitivo"", quello che sceglierei se fossi costretto a usarne uno solo. Finest HD two band fan shape, semplicemente perfetto."
41,997,F,30-39,ANIME,"Ciao, grazie per il benvenuto  Non si può non amare Sheldon! É davvero il mio idolo! Ma ti dirò che mi piacciono tutti i personaggi e soprattutto la strana relazione tra Howard e Raji"
42,324,M,30-39,SPORTS,A me son venuti i brividi guardando questo video Non so come mai E pensare di non poter vedere questo splendore provare a fare un salto di qualità mi rammarica davvero
43,217,M,20-29,AUTO-MOTO,"A 150mila si verifica lo stacco frizione del cambio ma non è prevista nessuna sostituzione, anche l'idea dei 1500 launch è una leggenda metropolitana, poi certo che se uno si mette a fare 30 launch di fila la temperatura del cambio sale alle stelle e il cambio va in protezione."
44,1010,M,40-49,SMOKE,"Ciao Ugo  , sei sempre un romanticone! Che bello sapere che piace anche a te Pavarotti...  Claudio, e qui eravamo in un momento di ""stanca"", avresti dovuto vedere cosa è rimasto sul tavolo della terrazza alle 06:00    Hahahaha, ciao Holiver!!! come stai caro? Se venivi facevi indigestione di sigari anche tu"
45,910,M,50-100,AUTO-MOTO,"Grande Paolo...ci sarò anche solo da ""spettatore""😉"
46,15,M,20-29,SPORTS,"Questo è solo un esempio, ma se il mercato vi stressa, staccatevi dai siti di informazione. Ripresentatevi il 20 agosto e passa tutto."
47,147,M,0-19,METAL-DETECTING,"Grazie mille,la vernice nera è un po su tutto il manico,perfetto !"
48,236,M,30-39,SPORTS,"non ho necessità di rimanere in acqua per molto tempo, di sicuro però affronto zone molto umide e anche ghiacciate ovviamente senza abbigliamento adeguato lo stivale fa poco un buon paio di calzerotti e calzettoni pesanti sono d'obbligo"
49,570,M,50-100,BIKES,"Voglio tenere il mio motore..i trapianti non mi piacciono...per vedere come stanno i cuscinetti cosa faccio?smonto il carterino,almeno ne vedo uno? PS : tolta la testa il volano trascina libero Biella e pistone sollevando il cilindro...spero cuscinetti ok!..."
50,748,M,50-100,AUTO-MOTO,"È successa la stessa cosa alle Renegade (vedi in quel forum). A me e a tanti altri hanno sostituito integralmente i sedili in ""pelle""..."
51,183,M,20-29,SPORTS,"Ma infatti questa storia della Rai mi par veramente strana, ne parlano solo il Secolo e SampNews24, però dal sito della Rai e dal palinsesto televisivo ancora nulla! Qualcuno ha qualche informazione più precisa? Non vorrei la beffa last-minute...nel senso almeno non dite che la fanno in tv sennò mi ci faccio l'idea e poi ci resto peggio"
52,885,M,20-29,AUTO-MOTO,Bella idea  Mi piace che ci sia ancora qualcuno con la voglia di fare i raduni! Se avessi ancora lo scooter verrei :/
53,784,M,50-100,AUTO-MOTO,Vedi Brivioracing cosa succede ad essere onesti e coscenziosi<cosa che ormai è da considerarsi rara>ti poni il problema di fare brutta figura poi ti senti pure in colpa verso gli altri.......................    Ce ne fossero come te Bravo te lo meriti. ciao Pierluigi
54,4,M,40-49,SPORTS,"No, non sono nè così ingenuo, nè così idealista soprattutto per quanto riguarda il terzo elemento. Così, mi era sembrato di percepire una latente mancanza di rispetto nei confronti di un ragazzo che si è preso delle randellate senza apparante motivo. Sinceramente non capisco bene l'ultima riga che hai scritto a cosa, a chi ti vorresti riferire? Va beh, siccome la mia comprensione vacilla cercherò di dedicarmi alla pace e all'amore: il terzo elemento diventa sempre più difficile raggiunerlo..."
55,678,M,40-49,AUTO-MOTO,"Opziono in attesa di capire se riusciamo a trovarci! Io sono bloccato fino a fine febbraio (lavoro 7 giorni su 7), ma dai primi di marzo ho una settimana libera."
56,586,M,20-29,ANIME,"Presi dalla curiosità, andammo a controllare quale Pokémon, o chi per esso, muoveva quel piccolo cespuglio."
57,221,M,50-100,SPORTS,"Sapete quanto di "" BUONO "" abbia scritto sulla FIPS di FI e il suo rapporto con l' obolo pagato x anni , i soldini avuti x gli eventi agonistici e il disastro fatto con i ripopolamenti che ora che ormai e' quasi morto tutto e' "" meglio nn fare"" perche' si fa' danni , e i soldini ci rimangono pure in cassa per il magnifico lago di Leccio un carpodromo unico segno tangibile di una federazione che negli anni 80 organizzava gare da oltre 1000 concorrenti a fine settimana    . Qui il discorso mi pare diverso ,sono gli operatori del settore che resosi conto che la crisi galoppa e di pescatori numericamente disposti a spendere x pescare in dei ""merdai "" ce ne sono sempre meno ,forse nn x anima ecologista e di fruizione di un bene comune tanto amato da taluni fessi ( noi in primis ) ma proprio x la vile pecunia che entrerebbe nuovamente nelle loro tasche si mettono a disposizione del "" FARE "" e mica e' detto che siano peggio degli altri anzi . Io personalmente almeno inizialmente un minimo di credito proverei a darglielo poi i fatti ci diranno velocemente se e' una presa di fondelli o meno , ma x quante ne abbiamo prese e subite in questi anni una in piu' sul groppone nn sara' certo quella che ci ammazzera' . Parere del tutto personale di un depresso cronico da fiume merdaio ......"
58,878,M,40-49,SPORTS,POLE POSITION: Marquez Fascia A: Marquez 2° Fascia B: Zarco 4° Fascia B: Crutchlow 6° Fascia C: Redding 15° Fascia C: Abraham 16° Fascia C: Barbera 17°
59,452,M,50-100,AUTO-MOTO,Chiedo scusa perchè si tratta di un annuncio ma ho una curiosità...perchè ruote da 17 in un 50 ( stesino non si può sentire...!! ) diciamo corsaiolo...??
60,630,M,30-39,SPORTS,"Purtroppo questa è l' Italia ,c'è chi va in galera perchè ruba un pezzo di pane e c'e chi ruba denaro pubblico e se lo gode nei paradisi fiscali.Per non parlare di crimini ben più gravi che restano impuniti o che cadono in prescrizione per decorrenza dei termini,ma queste sono altre storie. Adesso non voglio sembrarvi classista ma oggi o c'hai i soldi oppure essere italiano significa essere trattato peggio degli immigrati clandestini ,a loro i centri d'accoglienza a noi il carcere."
61,183,M,20-29,SPORTS,"No dai non credo, penso puntino su qualche rinforzo a centrocampo"
62,882,M,40-49,MEDICINE-AESTHETICS,Grazie ancora per le belle parole. Sicuramente non mancheremo di aggiornarvi.
63,368,M,20-29,AUTO-MOTO,"se ci scappa li vorrei far montare 2 dischi flottanti eheh.. cmq i danni di preciso ancora li so,.. dato che finché non viene il perito la moto non si può toccare"
64,727,M,30-39,AUTO-MOTO,"Avete la foto "" vista parafango posteriore""?? Ahaha"
65,164,F,40-49,ANIME,"Che bel video, Rossella! Davvero emozionante. Così come lo è stato vedere in quante siamo a sognare insieme con questa splendida storia. Seppur in ritardo faccio anche io i miei auguri al forum per tanti altri anni da divere in compagnia."
66,970,F,30-39,ENTERTAINMENT,"Nella cucina russa ci sono molte preparazioni realizzate con la pasta: pel'meni, bliny, tagliatelle e molte, molte altre. Ma l'orgoglio di ogni padrona di casa russa sono naturalmente i pasticci. ""L'isba non e' bella con le ikone ma con i pasticci"", ""Senza i pasticci gli onomastici non sono onomastici"", ""La faretra e' bella per via delle frecce - il pranzo per i pasticci""; questi proverbi testimoniano della popolarita' dei pasticci. Questi non si cucinano tutti i giorni e percio' quando compaiono in tavola significa che e' festa, e che si apsettano ospiti. Non per caso, probabilmente, la radice della parola ""pirog"" (pasticcio) e' ""pir"" (festino). La storia dei pasticci russi comincia, a quanto pare, dai vatruski (specie di focaccia con la ricotta) - un dolce della cucina anticoslava e russa. I vatruski sono paste rotonde, aperte in cima e con i bordi rialzati, riempiti di ricotta, piu' raramente di marmellata o gelatina. Il loro nome viene dalla parola ""vatra"" che ha significato di ""fuoco"", ""focolare"" nella maggior parte delle lingue slave, il che testimonia dell'antichita' di questa parola. I vatruski per la loro forma ricordavano il sole. Col passare dei secoli i vatruski hanno mantenuto la loro popolarita', ma ad essi si sono venuti ad aggiungere i pasticci, di forma e con ripieno diversi. Quanti pasticci ci sono! E aperti e chiusi, e rotondi e quadrati, di pasta lievitata, di pasta frolla, di pasta sfoglia, piccoli e grandi, con ripieno di carne, di pesce, di cavoli, patate, funghi, con le bacche, la ricotta, la marmellata... Uno dei piu' antichi si chiama kulebjaka. Si prepara cosi'. Sciogliete in 50 grammi di acqua o latte tiepido 10-15 grammi di lievito, passate attraverso un colino e aggiungete acqua o latte fino ad un totale di 150 grammi. Aggiungetevi 400 grammi di farina e fate la pasta. Verso la fine aggiungete 50 grammi di burro, due rossi d'uovo e un po' d'olio. Mettete la pasta in un posto tiepido e lasciate lievitare. Stendete la pasta con il mattarello, mettete il ripieno, unite i bordi della pasta e pizzicateli. Decorate con strisce di pasta. Ungete la superfice con un rosso d'uovo sciolto in acqua e mettete il pasticcio in forno ben caldo. La kulebjaka si fa di solito con carne o cavoli, o anche con 2 o 3 ripieni distesi a strati. Ad esempio, uno strato di riso bollito, sopra a questo uno strato di carne, ancora sopra uno strato di uova sode affettate a dischetti. Per preparare il ripieno di carne passate al tritacarne 800 grammi di carne lessa. Soffriggete una cipolla affettata finemente e aggiungetevi la carne. Fate ancora soffriggere per 3 o 5 minuti. Aggiungete tre uova sode tritate, 1-2 cucchiai di olio, sale, pepe, finocchio tritato a piacere. Per preparare il ripieno di cavoli prendete 1,5-2 kg di cavoli puliti e tritati grossolanamente, scottateli in acqua bollente, passateli attraverso un setaccio, passateli sotto l'acqua fredda, metteteli in una casseruola con burro (80-100 grammi) e lasciateli soffriggere per 10-15 minuti, mescolando e togliendo l'acqua ogni tanto. Aggiungete le uova tritate e salate il tutto."
67,888,M,50-100,BIKES,"Esatto, anch'io, per quella sopra ho seguito il metodo del fuoco (nello specifico con il caminetto)."
68,1079,M,40-49,AUTO-MOTO,"Purtroppo no, soprattutto se vuoi fare un ""facelift"": l'elettronica dei fari anteriori non è compatibile tra le versioni pre e post restyling, quindi va aperto il faro ed adattato nella circuiteria di controllo. Non è un lavoro banale... e ad oggi conosco solo RD Custom che lo faccia con competenza. A presto!!!, Eos"
69,507,M,40-49,AUTO-MOTO,Infatti credo che fu così ma se dovesse ricapitare che dovremmo fare?! Lasciare la DS a bordo strada e rinunciare ad andare in montagna a sciare? Oppure con le M+S insistendo dovrebbero consentire almeno di provare a passare?
70,197,F,0-19,ANIME,"Salve a tutti, mi chiamo Gaia, ho 19 anni e vado all'Accademia delle belle Arti.. Prima di iniziare dirò in breve le mie piccole esperienze riguardo il mondo Pokémon: Da bambina guardavo solo il cartone animato e non l'ho più visto per un breve periodo perché odiavo Jigglypuff; non sapevo l'esistenza del gioco, però il bambino della vicina possedeva il Gameboy e ogni tanto ci giocavo lol. Finito la mia prima comunione, i miei mi regalano il Nintendo DS e da lì giocai al mio primo gioco pokémon: Perla! Azzeccata come un'animale, cavolo lo amavo da impazzire, fin quando mio fratello non cambiò internet, router e non potevo più scambiare pokémon (Erorre 51100), ma dopo tanti anni (cioè quest'anno lol) ho capito come risolvere il problema, però non posso farlo perché la nostra connessione non sarà protetta. Non mi piace tantissimo la quinta generazione, quindi mi sono distaccata un po' da quel momento; seriamente Pkm Bianco e Nero non è tanto bello e ci sto giocando sull'emulatore del cellulare. L'anno scorso, non avevo il 3DS mi son fatta prestare il Nintendo dal mio ragazzo per giocare a Pokémon Y (lui ha giocato a Zaffiro alpha e mi ha regalato Y)... è bellissimo  e infatti, 2 settimane fa ho comprato il 2DS e sto facendo vari scambi prodigiosi c: Questo è tutto.. Che altro potrei aggiungere? I miei pokémon preferiti: Charizard, Empoleon, Lucario, Dragonite. Di leggendari: Mew, Mewtwo, Oh-Oh, Lugia, Zapdos, Darkrai, Cresselia, Palkia, Giratina, Rayquaza e Yveltal. Ok fine"
71,1061,M,40-49,AUTO-MOTO,potreste per cortesia mettere le coordinate gps? così non serve dare molte indicazioni stradali
72,332,F,0-19,ANIME,"magra,gambe lunghe...XD Preferisci mare o montagna??"
73,498,F,20-29,ANIME,Arata come fai a scrivere cosi? Mi commuovi sempre
74,32,M,30-39,SMOKE,Anche per me barone in anatra 1q bulldog diamond shank.
75,85,F,20-29,ENTERTAINMENT,"grazie per aver ascoltato la ODC, sono contenta che hanno ascoltato cosi tanti.... alla prossima al 15.11.14... ciaooo"
76,796,M,40-49,METAL-DETECTING,ciao a tutti  vi posto un altra chicca trovata purtroppo nn da me    ma dalla moglie  l'importante è che rimane sempre in famiglia
77,577,M,30-39,SPORTS,Speriamo che Salomo abbia ragione come spesso capita perché a questo punto del mercato abbiamo bisogno di un numero 9 di riferimento anche se Icardi lo stiamo pagando a peso d'oro. Comunque vada l'impreparazione e la superficialità della società nella cessione del nostro ex centravanti è inqualificabile.
78,180,F,20-29,NATURE,Vince katarina con quattro voti (Gianluigi ho tolto il tuo voto visto che è ovunque). Complimenti!
79,817,M,40-49,AUTO-MOTO,"Nel tuo ragionamento ci sono molte cose corrette, ma non tengono conto di varie cose che annullano o comunque invalidano il tuo ragionamento.... Iniziamo dal discorso del Sahara.... Se fai OR dovresti sapere che ogni terreno ha il suo tipo di approccio e la sabbia richiede della velocità, mentre sulle rocce l’approccio migliore è il contrario. Quindi è chiaro che nel deserto i grandi motori a benzina vadano bene.... Ma se passi sulle rocce grandi e non vuoi spaccare tutto e sbattere la testa sul cielo dell’auto è meglio passare con velocità bassa. Naturalmente in questo caso devi usare la coppia del motore, cosa che i Diesel hanno ad un basso numero di giri (tutti) mentre i Benzina ce l’hanno con i grandi motori.... Stessa cosa sul ghiaccio.... Se ti è mai capitato di andare con il ghiaccio ti accorgerai che va meglio un Diesel che un Benzina... Un altro fattore da tenere di conto è che in US NON hanno la Tassa di proprietà e la Benzina costa pochissimo, fattori che hanno influenzato l’adozione dei Benzina e che permettono a tutti di comprare un V8 da 500CV.... Inoltre il Diesel serve per la sua alta Coppia tanto che l’idea di eliminarlo vale SOLO per le auto, perché per i Camion ad oggi risulta difficile, infatti il grande problema dell’inquinamento è dato dal l’aver realizzato dei Diesel piccoli ((tipo la Panda).... E comunque questa cosa è un piano politico per destabilizzare i Diesel e chi come FCA fa dei motori Diesel validi.... Se vi ricordate quando c’era la Benzina Super sembrava che con la Verde si risolvessero tutti i problemi.... Invece è venuto fuori il PM10 che non è tanto meglio del Piombo della Benzina Super.... Il problema dell’inquinamento lo si risolve imponendo controlli rigidi alle Industrie e per il settore Auto passando a Idrogeno, anche perché per produrre l’energia elettrica non sempre si usano energie rinnovabili....."
80,285,M,0-19,ANIME,"Effettivamente il secondo film che attendevo molto ardentemente un pò mi ha deluso. Conoscendo Lupin III mi aspettavo qualcosa di diverso, quindi per la maggiore concordo"
81,945,M,20-29,SPORTS,"Quello delle respinte è un problema che ultimamente ha avuto pure Buffon, per dire, non è sempre facile soprattutto con questi palloni pazzi! Si credo anche io che, nel caso, prenderemmo Frison.. Quando mai un giocatore anche solo mezzo affermato XD"
82,501,M,0-19,ANIME,Purtroppo il Cloyster è uscito dalla sfera ed è fuggito! magari un giorno lo rincontrerai O:
83,643,M,30-39,SMOKE,Proveró anche io il chinotto che a quanto pare lo consigliate più di ogni altra bevanda  Dopo aver visto uno che mentre fumava un Cohiba mangiava un gelato non mi faccio più problemi
84,9,M,30-39,SPORTS,"Io temo solo il loro passo, in alcuni elementi molto diverso dal nostro. C'è anche da dire che noi non difendiamo come il real e l'ajax concede molto. Ho visto entrambe le gare degli olandesi, hanno grande palleggio, sono molto dinamici e giocano subito verticale. Cmq il real in due partite giocate MALE ha avuto 7-8 palle gol clamorose. bisogna levargli il possesso palla. sul sorteggio poi...va bene così, io tifavo per un quarto senza big per poi affrontarne una nella doppia sfida. ovvio che avrei preferito city e barca dallo stesso lato ma va bene così."
85,621,M,50-100,METAL-DETECTING,"Ciao , veramente stupenda ,era un peccato lasciarle separate      Ciao Gino"
86,849,M,50-100,METAL-DETECTING,ciao a tutti e ben ritrovati! mi chiamo Fabio alias Bortololino in onore del buon nonno .
87,10,M,20-29,ANIME,Oggi festa grande chissà se arriva Lisa Lisa in bikini
88,579,F,20-29,METAL-DETECTING,"Ciao ragazzi, oggi volevo farvi una domanda che mi gira da un po' per la testa. Io che ho un garret ace 250, mi chiedevo se con l'andare avanti del tempo la piastra perdesse colpi. Le mie ultime tre uscite sono andate a vuoto e mi ha rilevato oggetti solo a 4/5 cm sotto terra. In effetti ho provato a casa a testare a quanti cm rileva un anello d'argento e una moneta da due euro e non suona oltre a una spanna di distanza. Noto che sulla piastra ci sono delle piccole crepe ai bordi. Non so se tutto questo é normale o forse é ora di cambiare metal o piastra."
89,1029,M,20-29,ANIME,"beh... potrebbe anche essere, ma si da il fatto che se quì io dò il benvenuto a tutti i nuovi utenti, è come se mi sentissi io di andare ad aprire la porta della nave e dare il benvenuto come se fossi il padrone di casa, il che non mi sembra tanto consono visto il fatto che padrone di casa non sono, non sò subbare, non so encodare, non so fixare, so solo sparare cazzate a raffica per più unare in una maniera senza senso ma nella maniera più deficente possibile visto che che che che che che...."
90,733,M,20-29,SPORTS,"Peccato lasciare un trofeo ai rivali di sempre, comunque occhio a Moncini, che ci fa al Moreirense?"
91,117,M,20-29,SMOKE,"Salve a tutti, mi chiamo Saverio e sono uno studente di Biologia Marina appassionato di fotografia e scrittura. Parlando di fumo lento sono un grande amante di toscano e ambasciatore italiaco, anche se nell'ultimo anno la (ri)scoperta della pipa me ne ha fatto così innamorare da farmi desiderare di non fumare altro se non lei. Ci leggiamo da queste parti allora  Saverio (passwordlost)"
92,623,M,0-19,NATURE,"Ossi , come mai tieni il livello cosi basso ??"
93,701,M,50-100,AUTO-MOTO,La retrocamera c'è. Allora sostituisco la lampadina. Grazie
94,49,M,40-49,AUTO-MOTO,"Mizzega il bull bar! Se non sono di serie, e succede un' incidente l' assicurazione l' inch*appetta di sicuro!"
95,623,M,0-19,NATURE,"Benvenuto , anche a me ricorda il suo stile !"
96,671,F,20-29,ANIME,264 + 7 = 271 e aggiungo  te lo creo subito appena te lo invio per mp ti sottraggo i 20 bollini
