,Id,Gender,Age,Topic,Sentence
2736,51,M,20-29,METAL-DETECTING,"Dichiaro di aver letto il regolamento del forum e delle sezioni di militaria e di identificazione e di essere edotto riguardo quella che è la normativa vigente in materia di ritrovamenti di armi e ordigni bellici e oggetti di interesse archeologico, pertanto declino da ogni responsabilità l'amministratore ed i moderatori di questa sezione. Ecco due medagliette rimesse al mondo, l'una a 50 metri dall'altra. Fronte Retro Datazione??? GRAZIE"
2737,401,M,50-100,SPORTS,"Oggi compie gli anni il mitico Gilmour, grandissimo chitarrista!"
2738,1056,M,40-49,SMOKE,"Scusa se insisto, ma non riesco ancora a capire questo Mazzini per te che difetti ha?"
2739,97,F,20-29,ANIME,"Ok grazie! E dopo cerco ancora, stessa ricerca"
2740,511,M,0-19,ANIME,"Bravo di nuovo, mi farebbe piacere se leggessi la mia fiction, si chiama ""Ombre alla luce della realtà"", spero ti piaccia"
2741,536,M,30-39,NATURE,"si si solo spinning ormai ,basta un vagone di roba una canna una borsetta per gli artificiali e via:)"
2742,286,M,40-49,AUTO-MOTO,"Io sono andato dall'avvocato. La risposta alla tua domanda è: fai un contratto tu e il conce, se hai problemi fai una causa civile ... chi ti tutela? La legge"
2743,292,M,30-39,SPORTS,"In alto a dx c'è una finestra... ...io ci piazzerei una Miura con LA del 0,20 con un bolognino come piombo! Biccerello che non sei altro!"
2744,978,M,50-100,AUTO-MOTO,Ora sei riuscito e io opziono come da regole del forum
2745,332,F,0-19,ANIME,"grazie mille a tutti,comunque ora ne ho 13 di anni XD"
2746,206,M,30-39,SPORTS,"Da quel che leggo pare che 1,5 mln siano già stati destinati al rinnovamento dei campi di allenamento"
2747,274,M,30-39,AUTO-MOTO,"bÃ¨ io avendo giÃ la trasmissione modificata,ho voluto togliermi lo sfizio della marmitta..."
2748,822,M,20-29,ANIME,"Esatto concordo a pieno, infatti il bello di GT è anche l'epoca in cui è esistito. se l'avessimo visto oggi al posto di Super sarebbe stato criticato a sfare per i motivi per cui è stato criticato Super. La differenza è che quando vedemmo GT lo abbiamo potuto apprezzare anche da un punto di vista più giovane e pacato, nel senso che ""chi se ne frega se a Goku gli tornano i vestiti quando ridiventa bambino"". Almeno per me è stato così. Nel complesso, su Super ho avuto uno sguardo più critico e comunque più attento quando scappavano le boiate incoerenti. anche questo va considerato, se avessi visto Super 18 anni fà (animazioni a parte dato che in 18 lo stile è cambiato molto ovviamente), mi avrebbe dato le emozioni che mi ha dato Gt. Secondo me sono difficili da paragonare, ognuno ha i suoi punti di debolezza e di forza, ma nessuno dei due secondo me arriva anche solo lontanamente ai livelli di Z. Se preferisci il comparto ""emozioni"" vedi tu quale preferisci; se preferisci il comparto audio stravince GT; se preferisci quello animato bene... beh anche lì è altalenante, dato che Super si è ripreso bene poi; se preferisci la trama... mh, hanno poco senso entrambi, ma almeno Super ci prova ad essere un pelo logico. Però adoravo la storia delle sfere, che se usate troppo si corrompono. Era geniale: sviluppata a cazzim, ma geniale."
2749,924,M,40-49,AUTO-MOTO,"I cerchi non sono una priorità, ma tenere puliti i raggi è un incubo !"
2750,570,M,50-100,BIKES,Amici ciao e Buon Natale! Sto restaurando un bellissimo Trotter40 che necessita dei due pneus in oggetto. Dove li trovo?? Ciao e grazie!
2751,153,M,50-100,AUTO-MOTO,"- la APP che uso è la EOBD-Facile ma ne esistono tantissime altre; - si funziona anche su android - la APP indicata ha tre livelli di accesso (la basic gratuita le altre a pagamento) che permettono di eseguire diagnostica avanzata e registrazione dati. I vari livelli di accesso, disponibili anche per le APP iPhone e Android, sono indicati di seguito:  Ricordate di prendere una chiave OBD compatibile ELM327 in modo da avere l'accesso a tutti i protocolli di comunicazione disponibili:  qui potete trovare il manuale del SW per iPhone:"
2752,1046,M,20-29,ENTERTAINMENT,"mah, non mi sembra abbiano molto più delle altre showgirl l'unica che fa la differenza è Leone. cos? (praticamente pensi di passare da 4 a ""fotto le tipe ai calciatori"" con un intervento estetico? ma vai solo da un estremo all'altro??)"
2753,573,M,30-39,MEDICINE-AESTHETICS,"Non posso far altro che augurarvi il meglio, non perdete l ottimismo! So che non semplice."
2754,832,M,20-29,AUTO-MOTO,Eccola: I think you'll like Car Seat Back Organizer Bag Storage Travel Multi-pocket Universal PU Leather Back Seat Protector Auto Accessoires. Add it to your wishlist!
2755,561,M,40-49,SPORTS,"Conta 0 questo. Se sono furbi (...il che stanno dimostrando (purtroppo) d'esserlo), la Superlega come la intendiamo non partirà nei prossimi anni. Ci vorrà ancora un po'. Ma per tutta una serie di motivi (in primis, e percentualmente dominante, economico...) diverrà una strada a senso unico nel lungo periodo..."
2756,217,M,20-29,AUTO-MOTO,"Vendo coppia sedili Recaro montati su clio 200 quindi con trama e cuciture gialle; il sedile lato guida è già stato rifoderato il passeggero presenta il tessuto leggermente consumato, completi di airbag e staffe. Vendo entrambi a 1400€ valuto permuta con coppia di sedili originali."
2757,358,F,40-49,SPORTS,Red Devils n. 1 (la nonnina) presente!!!
2758,511,M,0-19,ANIME,"Bene, adesso il forum tiri fuori i suoi traduttori dal giapponese in incognito e si dia da fare per darci le risposte su questo capitolo"
2759,405,F,0-19,ANIME,io sarò assente fino al 19/12 causa troppi esami in università >.<
2760,909,M,40-49,SPORTS,Ho Troppo paura di questa partita. Abbiamo solo da perdere. Sembrerebbe tutto troppo facile. Loro in crisi nera e noi che vinciamo da 5 partite consecutive. L'inculata è dietro l'angolo. Speriamo in PUM PUM PUM Piatek
2761,955,M,30-39,SMOKE,Hai ragione! Devo darmi da fare per ringiovanire!!!
2762,58,F,20-29,ANIME,"Salve salvino!*^* Sono Flanders.. okay, no!u.u Mi chiamo Rosa, ho 20 anni e sono delle provincia di Caserta.. non so se conoscete la zona, più che altro siamo famosi per la Reggia  Non sono brava con le presentazioni, soprattutto a parlare di me stessa.. preferisco siano gli altri a giudicarmi xD Gironzolavo da un bel po in questo forum e alla fine ho deciso di presentarmi.. anche perché vorrei imparare a graficare, impresa difficile per la sottoscritta! D: Sono disperata.. non credo riuscirò mai ad imparare ç.ç Tra le mie passioni c'è la musica, anime, manga, film.. mi piace molto anche scrivere e leggere, anche se non lo faccio spesso >.< Adoro Michael Jackson *w* sia a livello musicale che umano^^ Come anime/manga preferito, c'è Nana.. lo adoro. Appena lo vidi me ne sono innamorata, peccato che l'autrice non lo continui, ma ci spero ancora! ò-ò Che altro dire.. spero di essere la benvenuta e che avremo modo di conoscerci meglio!^^ Se avete domande, ditemi pure  Vi chiedo taaanta tanta pazienza con me per quanto riguarda la grafica! ç.ç Byez!"
2763,75,M,50-100,BIKES,"Bella Vale', ci faccio un pensierino........anche se di questi tempi preferisco le ruote grasse! Cmq e' un gran bel giro, faccio sapere, intanto ti saluto e finalmente ci si risente."
2764,932,M,50-100,NATURE,In ultima analisi usa i cavi della corrente attaccati alle zampette!
2765,614,M,30-39,AUTO-MOTO,Ho messo Excellium della total. Periodo di osservazione 2 tragitti casa lavoro: 0.8 l in meno su 100 km. Vi faccio sapere se il risparmio è confermato anche nei prossimiprossimi giorni o se è una casualità
2766,88,M,40-49,SMOKE,"Nome dell'esercizio e indirizzo: Tabaccheria Parlanti Guglielmo Via Vasco Peloni, 15 51016 Montecatini Terme (PT) Il tutto in humidor: Toscano Ambasciator Italico Compagnia Toscana Sigari Accessori Collegamento a esercizio in Google Maps (facoltativo):"
2767,890,M,30-39,BIKES,"Ok, grazie ancora. lascerò il getto 48. Proverò solo a montare il 42 con la marmitta originale per vedere cosa cambia, appena smette di piovere... Muntagnin, fai sempre delle battute che mi fanno sbragare dal ridere... è bellissima l'immagine dei miei amici costretti a seguirmi con la macchina e a mentirmi, per pietà, sulla velocità del mio Ciao... Ma... Non è che magari è davvero così? Faccio un paio di telefonate."
2768,261,M,30-39,SMOKE,"La tentazione e' forte, cosi come la domanda (chiedo venia, probabilmente ingenua): sono la stessa serie? Vi ringrazio in anticipo per il vostro parere; qualunque sia il verdetto, la tentazione rimarrà forte.. e la prognosi peggiorerà fino al giorno di paga!"
2769,765,M,40-49,ANIME,"Ciao e grazie mille Josomeda  Non credo sia necessario iscriversi, cmq per avere il game completo basta scaricare il primo link in alto, quello dove c'è la versione 2014 del gioco"
2770,113,M,40-49,AUTO-MOTO,"Ciao, io ho una piccola passione sugli zaini e sono sempre alla ricerca di modelli particolari, ti posto un paio di link per quanto riguarda alcuni zaini che a me piacciono molto. Il primo e' il Rabler che usandolo in moto ha l aparticolarita' di espandersi facilmente secondo la capienza che ti serve. Il secondo e' l'Aviator, molto pratico per l'apertura a valigia e lo spessore ridotto. Il terzo e' l'indistruttibile GR1 della Goruck."
2771,509,M,30-39,ANIME,❤✌👍 su..manga db diventa Abadan Bandari Club grazie a me?!?!?
2772,133,M,20-29,SPORTS,"nono no ho un gioco impostato sul pressing,ma poi si rompono solo i terzini sx la userò come ultima spiaggia"
2773,992,M,20-29,SPORTS,"Scusate, mi sono accorto che, per come l'ho scritto, il mio messaggio non è molto chiaro, anzi. Con ""dimezzato"" intendevo solo il punteggio del pilota omonimo, non il totale, sarebbe una punizione eccessiva. In questo caso, per esempio, Thierry Neuville ha preso 12 punti, per quelli che non hanno specificato il nome il punteggio diventa 6."
2774,561,M,40-49,SPORTS,Qui invece cala tutto... Tra quelli che non vogliono restare... Sousa che stecca pure se cambia modulo... la squadra che forse non crede più a nulla... Se continua così finiamo dal lato destro...
2775,174,M,30-39,SMOKE,Nessun sapore è per sempre. Cit. Capuano. Scherzi a parte basta fumarci un po' di toscano e si resetta. Già tolto più volte il sapore di talco da una pipa. Oggi Dunhill Flake in Dunhill Lovat (non mi ricordo lo shape e mi scoccia scendere per guardarci) Shell. Capstan Giallo in Castello Pot trade Mark.
2776,817,M,40-49,AUTO-MOTO,"I Bulloni sono cromati essenzialmente per prevenire la ruggine che renderebbe difficile lo smontaggio, oltre ad un fattore estetico. Solo nelle auto molto vecchie erano non cromati, oppure in auto economiche tipo le FIAT o alcune OPEL. Fai attenzione ai Bulloni antifurto in quanto se si spanano la chiave apposita per svitarli non funzionerà più ed avrai un grosso problema..... Evita di avvitarli o di farli avvitare con la pistola, meglio lavorare manualmente..... Un mio collega di lavoro gli hanno spanato la vite ed ha dovuto fare un foro nel Bullone per estrarlo e poi rimontare il Bullone standard. Ti consiglio anche di farti lasciare i Bulloni Originali in quanto tu poi volessi o dovessi rimontarli."
2777,887,M,50-100,AUTO-MOTO,"Ieri un leggero off-road con la mia Q2... chiaramente niente di estremo, semplicemente una strada sterrata di montagna con una buona pendenza. Pur non essendo particolarmente potente (1.6), pur avendo la trazione anteriore e pur essendo equipaggiata con dei cerchi non da off-road, si è comportata davvero bene😍 A bordo si stava davvero bene, dava senso di comfort, sicurezza e stabilità. Al volante è stato un gioco da ragazzi, veramente nessun problema. Il terreno era anche un po’ umidiccio dal temporale della sera prima!"
2778,430,F,20-29,ANIME,"Non è brutto come drama, ci sono molti spunti interessanti, e almeno per me, è anche interessante questo periodo. Però non posso dire che vedere perennemente la protagonista attaccata dalla famiglia, le varie consorti che le danno addosso, a lei o tra loro sia proprio piacevole ecco  E' un po' l'atmosfera dei palace drama, dove ci sono mille soprusi e gastriti che ti vengono a vederlo, eppure c'è quel qualcosa per cui vai avanti    Quello che voglio dire è che non posso dire di stufarmi, anzi alle volte sono cos' in ansia per vedere come farà la protagonista che mi devo vedere prima se se la scampa o meno  Però nelle ultime puntate stavano un po' essagerando quindi.... però c'è stata ua svolta quindi penso ci saranno dei cambiamenti considerevoli adesso!  ( o almeno spero  ) comunque sono arrivata fino a qua e di certo non lo pianto in asso, anche perchè mi piace guardarlo Il quarto è piuttosto fastidioso nei suoi atteggiamenti  non è malvagio, è solo viziato ed egocentrico, anche se cerca di migliorarsi. Ma fosse solo questo!! Per tutto il drama a lei, Comunque tuli, ora come ora ti consiglio di vederlo sono se sei curiosa di vederlo, non perchè sia brutto, ma tutto sommato non eccelle"
2779,558,M,40-49,SPORTS,Io ci metto sia il daiwa 7ht nero che il penn 525. Ottimo acquisto vai tranquillo.
2780,740,M,0-19,SPORTS,"D'accordissimo, anche solo per il fatto che sei un fan di Lost... ehmm non vado off-topic altrimenti i mod mi picchiano"
2781,547,M,30-39,AUTO-MOTO,Buona serata amici del forum e buon fine settimana a tutti
2782,387,M,20-29,ANIME,"nuova recensione, nuovi livelli di demenza. Ho dovuto chiedere aiuto ad un personagio importante per questo video: DODO album consigliatissimo"
2783,617,M,20-29,SPORTS,"L'ho scaricato 5 secondi fa, porc...!  Maledetta SI...qualcuno dovrebbe dirgli quanto noi italiani teniamo a certe competizioni!"
2784,489,F,20-29,ANIME,"Sono tutte bellissime, la mia preferita è quella di Lugia <3"
2785,989,M,50-100,SPORTS,"Modric arriverà? Forse, non lo so io e in questo momento non lo sa nessuno. Se dovesse arrovare sarei felicissimo, come credo la quasi totalità dei tifosi neroazzurri, se non dovesse arrivare me ne farei una ragione, la squadra, anche senza il suo arrivo, sembra ben costruita ed è senza dubbio, sulla carta, la più forte e completa degli ultimi 6/7 anni. Se non arrivasse Luka mi piacerebbe tantissimo che si riportasse a casa Rafinha, altro giocatore rispetto al croato ma potrebbe garantire un tocco di imprevedibilità e classe non indifferente alla rosa attuale che manca di un giocatore con queste caratteristiche"
2786,31,F,20-29,ANIME,--> e ho cambiato il titolo che era sbagliato ed il messaggio iniziale perché non si vedeva più l'immagine..
2787,840,F,0-19,ANIME,"Carine le gif! Anche io concordo con Vals*, la prima di Nikita è la più bella!"
2788,597,M,50-100,SPORTS,"PS: lo sai che De Niro, nonostante un quarto di discendenza italiana, ha dovuto ""imparare"" appositamente per le scene di Padrino 2 il Siciliano.... che demonio di uomo !!!!"
2789,91,M,40-49,METAL-DETECTING,"Grazie di nuovo a tutti, comunque per provare mi hanno imprestato un gc 1020 e leggendo i vostri pareri mi sa che sarà dura...comunque sia sabato partirò per la mia prima uscita, dalla mia ho la gran conoscenza dei boschi e colline dello spezzino, nonche storie di partigiani e ubicazioni di case e batterie non proprio conosciute dai più...sono curioso di provare questa nuova avventura!!!"
2790,621,M,50-100,METAL-DETECTING,Arieccome mi sono reiscritto con un nuovo nik e si ricomincia da capo . Prima era bianat. Ciao a tutti.
2791,188,M,30-39,SPORTS,Qua potete ascoltare l'analisi di Radio Blucerchiata su Sampdoria Atalanta
2792,819,M,20-29,ANIME,Dicono che una pallottola nello stomaco bruci meno se c'e' del whiskey. (cit.)
2793,189,F,50-100,NATURE,"Quando sfregano il becco è quando sono in riposo. Prendono le coccole, ma se è il momento in cui vogliono veramente appisolarsi, ti scacciano."
2794,319,M,40-49,SPORTS,"Mi dispiace di aver scatenato involontariamente un po' di contrasti in questa discussione...la mia è un opinione come le rispettosissime che hanno gli altri. Ad oggi posso dire tranquillamente che il livello delle squadre che il Napoli ha incontrato, ma non solo il Napoli, sono paragonabili se non inferiori all'attuale livello di del Sassuolo. Il Sassuolo domenica ci ha dato molto più fastidio del Salisburgo. Poi è vero che nel calcio 1+1 non fa quasi mai due, però è un dato di fatto che che su 32 squadre forse 6 o7 sono degne di rappresentare una competizione europea ad un certo livello. Poi ripeto ognuno ha le sue idee, rispettabilissime! Grazie per il giramondo 78, in realtà purtroppo è 73, ho 5 anni in più!"
2795,295,M,20-29,ANIME,"Vi ringrazio entrambi per i consigli, appena avrò un po' di tempo darò un'occhiata. Invece che pareri dareste a questo manwha? Mi piacerebbe aprire una discussione in merito, o meglio parlarne in modo più approfondito, sono molto interessato a confrontare i miei punti di vista con quelli degli altri"
2796,992,M,20-29,SPORTS,Forse mi sono espresso male...conoscendo lo zio sono sicuro che sarebbe riuscito a portare ad Azzano anche le Frecce Tricolori e l'Orchestra Filarmonica di Praga!!!!!!!!!!!!!!!!!!!!!!! Volevo solo evidenziare che il fatto che fossero compagni di squadra è stato solo un aiutino in più...tutto qui
2797,232,M,50-100,SPORTS,"Massimo, dalle foto non mi sembra che imbobbini molto bene, sbaglio?"
2798,340,M,30-39,SMOKE,Ciao e bentornato Rivedere il tuo nick mi fa ritornare in mente davvero bei ricordi.......
2799,559,M,50-100,AUTO-MOTO,Beh.. direi proprio bene.. per un 4wd ! 👍
2800,34,F,0-19,ANIME,sono una ragazza ^^ grazie! cmq anche io sinceramente non sapevo come farle e se le schiarivo veniva brutto ><
2801,461,F,40-49,ANIME,"Grazie Silvana, tu sei la regina delle cose fatte a mano!"
2802,325,M,50-100,SPORTS,"Infatti, per alzare il livello, giocano in montagna"
2803,1084,F,20-29,CELEBRITIES,spero che angela e greta siano intelligenti e votino quelle str**e!
2804,501,M,0-19,ANIME,"Cosa occorre: -Un account minecraft VECCHIO* -Vari files che dopo andremo a scaricare Guida: Andate su  e registratevi utilizzando il nome del vostro account sul sito ufficiale di minecraft. Ora in alto a destra apparirà il vostro nome, per esempio Tiziocaio. Ora andate alla voce  , e inserite  e  dell' di minecraft! Ora non vi resta che cercare su internet delle skin. Trovata la vostra prendetene l'url e incollatelo in  . Se volete anche un mantello, trovatene uno e incollate il suo url in  . Adesso andate in  e cliccate sulla voce  . Mettete tutti i files in una cartella o sul desktop, e per giocare a minecraft fate questi semplici passi: Click con il destro su mineshafter-proxy -> Apri con... -> Java(TM) Platform SE Binary Su vista se non eseguite questo procedimento non succederà nulla, ma può essere che su XP o su win7/8 non sia necessario. Spero di esservi stato d'aiuto  *Solo account vecchi perché gli sviluppatori di minecraft per evitare queste cosa ora hanno messo una ""protezione"", ora prima di selezionare un nome utente per minecraft devi obbligatoriamente acquistare il gioco."
2805,217,M,20-29,AUTO-MOTO,Grazie per il benvenuto a tutti Si dai soprattutto oggi con 10°
2806,584,M,30-39,SPORTS,"Ma che dice,ma come si spegne questo cialtrone?"
2807,129,F,40-49,SPORTS,Torino - Parma 2-0 SPAL - Cagliari 1-0 Genoa - Napoli 1-2 Atalanta - Inter 1-1 Chievo - Bologna 1-2 Empoli - Udinese 1-0 Roma - Sampdoria 2-1 Sassuolo - Lazio 1-2 Milan - Juventus 1-2
2808,722,M,40-49,METAL-DETECTING,"trovata su delle postazioni Austriache della grande guerra, che pero non sembra consona al periodo"
2809,349,M,40-49,SPORTS,Ma più che altro dove erano? Si allenavano al centro?
2810,932,M,50-100,NATURE,53 anni portati bene ma tutti sulle spalle... Il lavoro non ve lo posso dire altrimenti poi vi devo uccidere...😉😉
2811,403,M,0-19,ENTERTAINMENT,"A me no, se riescono a mantenere dei toni differenti (almeno per quanto riguarda la voce) ci puó stare benissimo, d'altronde Rocket ha una voce molto piú grezza, quasi simile a quella di Rick Sanchez... Occhio di falco invece ha sempre mantenuto una voce molto serena e pacata, e per di piú in Endgame pare evidente che rimarrá molto serio, o almeno cosí dovrebbe essere, quindi ci puó stare benissimo secondo me..."
2812,1015,M,50-100,SPORTS,"Prestazione inquietante. Ok le assenze,ma un minimo di voglia,cuore,anima... Giocatori fermi,senza idee,senza snerva."
2813,282,M,30-39,SPORTS,La vedo complicata per il primo posto ma sicuramente ci giochiamo l’Europa che conta cioè la Champions League intanto in coppa cerchiamo di sognare
2814,255,M,30-39,SPORTS,Sia che giochi il centravanti boa (Edin) sia con i 3 piccoli davanti e senza punti di riferimento il buon Spalletti ha creato una macchina da gol : 7 vittorie di fila e 22 gol segnati ... più di 3 gol a partita
2815,524,M,0-19,ANIME,"io direi di lasciarlo normale, al massimo diminuisci del 60-70%­l'opacità dell'alone e (non so se su gimp funziona uguale) prova aduplicare il livello che vuoi sfocare sfocalo e poi diminuiscene di molto l'opacità (tipo 20-25%) e applicalo solo a quelle zone"
2816,65,M,20-29,SMOKE,"Sono un amante dell'italico classico.. Spero che arrivi un sigaro di carattere, bello forte, con un giusto rapporto qualità prezzo per essere un buon sigaro tuttogiorno.."
2817,876,M,30-39,SPORTS,"beh ma chiunque abbia praticato sport a medio-alto livello sa che non si può essere sempre infallibili, imbattibili, concentrati o perfetti. e non per questo la vittoria degli altri deve essere ridimensionata. quindi che il RM abbia giocato sotto tono, deconcentrato, scoglionato o pensando di allenarsi, non capisco perché debba essere visto come qcsa a nostro sfavore. A me sembra che si cerchi il classico pelo nell'uovo o siano le classiche pippe per tirar sera. si e' vinto? bon. il RM ha fatto cagare? peggio per loro. il risultato mi sembra chiaro. ovviamente tutto imho"
2818,446,M,20-29,SPORTS,"Hai sempre criticato l'attuale politica italiana e pensato che si potesse fare molto meglio? Pensi che il paese se fosse in mano ad altri sarebbe diverso? Pensi di poter fare meglio della CASTA? Con GDR.Italia puoi crearti una seconda vita da politico, giornalista, sindacalista, imprenditore, giurista, e tanto altro... Vieni anche tu nel più grande forum di simulazione autogestita di politica&co. Potrai iscriverti ad un partito, fondarne uno nuovo, dirigere un sindacato, redarre disegni di legge, organizzare grandi manifestazioni, meeting sui più svariati argomenti, condurre processi, gestire un'azienda, dirigere un giornale, fare satira e tanto altro... Clicca qui e iscriviti [per maggiori info chiedere all'interno o per mp agli amministratori]"
2819,442,M,40-49,METAL-DETECTING,"Grazie per la tua risposta , ma che senso avrebbe su una porta di una casa?"
2820,419,M,20-29,METAL-DETECTING,Grazie Marco! Detto da te è sempre un bel complimento!!
2821,583,M,50-100,BIKES,"Grazie Munta vado in hangar e controllo per bene, quella dietro invece va' bene ? ciao Mauro"
2822,816,M,20-29,SPORTS,"Premetto che non sono sicuro che questa sezione sia il posto giusto in cui fare questa richiesta (perdonatemi se ho sbagliato). Come da titolo, sono alla ricerca di un savegame che veda il Pescara (attualmente in serie B) approdare alla serie A. Non sono bravo con l'editor. Desidero cimentarmi con il Pescara, ma vorrei partire dalla massima serie. Preferibilmente, il salvataggio dovrebbe essere a  , con il Pescara inserito nelle squadre promosse in A. Se qualcuno ha una partita salvata con questa caratteristica, vi chiedo gentilmente di postare il savegame. Grazie anticipatamente a chi mi aiuterà."
2823,1010,M,40-49,SMOKE,Seguite con cura il dramma umano del tizio in pantaloncini celesti che compare a 0:56
2824,719,M,0-19,ANIME,"mmh... ora? il codice è 5029 1097 5965 cmq,, si ammalati non sono male"
2825,782,M,0-19,ANIME,"Pidgeot    lv85 ps274 Abilità: Intrincopiedi Tifone (-215, può CONF) Eterelama (-193, può far tentennare) Speculomossa (copia l'ultima mossa usata dall'avversario) Introforza (-182) tifone tu ko ultimo e poi stat"
